year,state_name,state_code,district_name,district_code,csr_project_name,development_sector,company_name,cin,company_class,company_type,roc,company_category,listing_status,project_outlay_amount_in_lakhs,amount_spent_in_lakhs,log_amount_spent
1/1/2014,Jammu and Kashmir,1,Not Mentioned,0,Not Mentioned,Conservation Of Natural Resources,3m India Limited,L31300KA1987PLC013543,Public,Other than Govt. Companies,ROC-BANGALORE,Company limited by Shares,Listed,40.0,5.0,1.791759469228055
1/1/2014,Maharashtra,27,Not Mentioned,0,Not Mentioned,Education,3m India Limited,L31300KA1987PLC013543,Public,Other than Govt. Companies,ROC-BANGALORE,Company limited by Shares,Listed,24.0,20.0,3.044522437723423
1/1/2014,Karnataka,29,Not Mentioned,0,Not Mentioned,Education,3m India Limited,L31300KA1987PLC013543,Public,Other than Govt. Companies,ROC-BANGALORE,Company limited by Shares,Listed,24.0,20.0,3.044522437723423
1/1/2014,Karnataka,29,Not Mentioned,0,Not Mentioned,Women Empowerment,3m India Limited,L31300KA1987PLC013543,Public,Other than Govt. Companies,ROC-BANGALORE,Company limited by Shares,Listed,32.0,0.0,0.0
1/1/2014,Karnataka,29,Not Mentioned,0,Not Mentioned,Special Education,3m India Limited,L31300KA1987PLC013543,Public,Other than Govt. Companies,ROC-BANGALORE,Company limited by Shares,Listed,40.0,5.0,1.791759469228055
1/1/2014,Karnataka,29,Not Mentioned,0,Mobile Science Vans For Taking Education To Villages Science Centers For Disadvantaged Children Ni,Socio-Economic Inequalities,A.t.e. Enterprises Private Limited.,U51503MH2001PTC132921,Private,Other than Govt. Companies,ROC-MUMBAI,Company limited by Shares,Unlisted,3.0,3.0,1.3862943611198906
1/1/2014,Maharashtra,27,Not Mentioned,0,Science Workshops Exhibitions Lectures Publications,Education,A.t.e. Enterprises Private Limited.,U51503MH2001PTC132921,Private,Other than Govt. Companies,ROC-MUMBAI,Company limited by Shares,Unlisted,1.0,1.0,0.6931471805599453
1/1/2014,Maharashtra,27,Not Mentioned,0,Institutes Providing Education In The Fields Of Medical Management And It Ymt Ayurveidic Medical C,Education,A.t.e. Enterprises Private Limited.,U51503MH2001PTC132921,Private,Other than Govt. Companies,ROC-MUMBAI,Company limited by Shares,Unlisted,20.0,20.0,3.044522437723423
1/1/2014,Maharashtra,27,Not Mentioned,0,Cancer Prevention Tree Plantation And Education,Health Care,A.t.e. Enterprises Private Limited.,U51503MH2001PTC132921,Private,Other than Govt. Companies,ROC-MUMBAI,Company limited by Shares,Unlisted,1.0,1.0,0.6931471805599453
1/1/2014,Maharashtra,27,Not Mentioned,0,Merit Cum Scolarship For  Students Through Protins Food And Nutrition Develoment Of India,Education,Aak Kamani Private Limited,U15140MH2002PTC137681,Private,Other than Govt. Companies,ROC-MUMBAI,Company limited by Shares,Unlisted,0.0,0.0,0.0
1/1/2014,Maharashtra,27,Not Mentioned,0,Development Support To Disabled People Through Mba Foundation,Education,Aak Kamani Private Limited,U15140MH2002PTC137681,Private,Other than Govt. Companies,ROC-MUMBAI,Company limited by Shares,Unlisted,8.0,8.0,2.1972245773362196
1/1/2014,Maharashtra,27,Not Mentioned,0,Merit Cum Scolarship For  Students At Institute Of Chemical Technology,Education,Aak Kamani Private Limited,U15140MH2002PTC137681,Private,Other than Govt. Companies,ROC-MUMBAI,Company limited by Shares,Unlisted,1.0,1.0,0.6931471805599453
1/1/2014,Maharashtra,27,Not Mentioned,0,Sewing Machines To Pratima Samajik Sanstha For Distributing To Poor And Needy Ladies,Women Empowerment,Aak Kamani Private Limited,U15140MH2002PTC137681,Private,Other than Govt. Companies,ROC-MUMBAI,Company limited by Shares,Unlisted,0.0,0.0,0.0
1/1/2014,All India,0,Not Mentioned,0,Not Mentioned,Not Mentioned,Aarbee Structures Private Limited,U74210KA2005PTC036409,Private,Other than Govt. Companies,ROC-BANGALORE,Company limited by Shares,Unlisted,0.0,0.0,0.0
1/1/2014,All India,0,Not Mentioned,0,Not Mentioned,Rural Development Projects,Aarti Drugs Limited,L37060MH1984PLC055433,Public,Other than Govt. Companies,ROC-MUMBAI,Company limited by Shares,Listed,121.0,105.0,4.663439094112067
